STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/6/2004,2004,4,6,48.5,58,39
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/7/2004,2004,4,7,43,48,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/8/2004,2004,4,8,40.5,44,37
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/9/2004,2004,4,9,36.5,42,31
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/10/2004,2004,4,10,34,41,27
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/11/2004,2004,4,11,37,45,29
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/12/2004,2004,4,12,44,53,35
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/13/2004,2004,4,13,51,58,44
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/14/2004,2004,4,14,44.5,52,37
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/15/2004,2004,4,15,44.5,51,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/16/2004,2004,4,16,46.5,52,41
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/17/2004,2004,4,17,42,52,32
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/18/2004,2004,4,18,34.5,38,31
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/19/2004,2004,4,19,37,42,32
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/20/2004,2004,4,20,39.5,46,33
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/21/2004,2004,4,21,35.5,41,30
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/22/2004,2004,4,22,37.5,44,31
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/23/2004,2004,4,23,41.5,50,33
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/24/2004,2004,4,24,43.5,50,37
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/25/2004,2004,4,25,43,51,35
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/26/2004,2004,4,26,50,59,41
